,番号,分類
807,807,研究法、指導法、言語教育
808,808,叢書、全集、選集
809,809,言語生活
810,810,日本語
811,811,音声、音韻、文字
812,812,語源、意味（語義）
813,813,辞典
814,814,語彙
815,815,文法、語法
816,816,文章、文体、作文
817,817,読本、解釈、会話
818,818,方言、訛語
819,819,
820,820,中国語
821,821,音声、音韻、文字
822,822,語源、意味（語義）
823,823,辞典
824,824,語彙
825,825,文法、語法
826,826,文章、文体、作文
827,827,読本、解釈、会話
828,828,方言、訛語
829,829,その他の東洋の諸言語
830,830,英語
831,831,音声、音韻、文字
832,832,語源、意味（語義）
833,833,辞典
834,834,語彙
835,835,文法、語法
836,836,文章、文体、作文
837,837,読本、解釈、会話
838,838,方言、訛語
839,839,
840,840,ドイツ語
841,841,音声、音韻、文字
842,842,語源、意味（語義）
843,843,辞典
844,844,語彙
845,845,文法、語法
846,846,文章、文体、作文
847,847,読本、解釈、会話
848,848,方言、訛語
849,849,その他のゲルマン諸語
850,850,フランス語
851,851,音声、音韻、文字
852,852,語源、意味（語義）
853,853,辞典
854,854,語彙
855,855,文法、語法
856,856,文章、文体、作文
857,857,読本、解釈、会話
858,858,方言、訛語
859,859,プロバンス語
860,860,スペイン語
861,861,音声、音韻、文字
862,862,語源、意味（語義）
863,863,辞典
864,864,語彙
865,865,文法、語法
866,866,文章、文体、作文
867,867,読本、解釈、会話
868,868,方言、訛語
869,869,ポルトガル語
870,870,イタリア語
871,871,音声、音韻、文字
872,872,語源、意味（語義）
873,873,辞典
874,874,語彙
875,875,文法、語法
876,876,文章、文体、作文
877,877,読本、解釈、会話
878,878,方言、訛語
879,879,その他のロマンス諸語
880,880,ロシア語
881,881,音声、音韻、文字
882,882,語源、意味（語義）
883,883,辞典
884,884,語彙
885,885,文法、語法
886,886,文章、文体、作文
887,887,読本、解釈、会話
888,888,方言、訛語
889,889,その他のスラブ諸語
890,890,その他の諸言語
891,891,ギリシア語
892,892,ラテン語
893,893,その他のヨーロッパの諸言語
894,894,アフリカの諸言語
895,895,アメリカの諸言語
896,896,
897,897,オーストラリアの諸言語
898,898,
899,899,国際語（人工語）
900,900,文学
901,901,文学理論・作法
902,902,文学史、文学思想史
903,903,参考図書（レファレンスブック）
904,904,論文集、評論集、講演集
905,905,逐次刊行物
906,906,団体
907,907,研究法、指導法、文学教育
908,908,叢書、全集、選集
909,909,児童文学研究
910,910,日本文学
911,911,詩歌
912,912,戯曲
913,913,小説、物語
914,914,評論、エッセイ、随筆
915,915,日記、書簡、紀行
916,916,記録、手記、ルポルタージュ
917,917,箴言、アフォリズム、寸言
918,918,作品集
919,919,漢詩文、日本漢文学
920,920,中国文学
921,921,詩歌、韻文、詩文
922,922,戯曲
923,923,小説、物語
924,924,評論、エッセイ、随筆
925,925,日記、書簡、紀行
926,926,記録、手記、ルポルタージュ
927,927,箴言、アフォリズム、寸言
928,928,作品集
929,929,その他の東洋文学
930,930,英米文学
931,931,詩
932,932,戯曲
933,933,小説、物語
934,934,評論、エッセイ、随筆
935,935,日記、書簡、紀行
936,936,記録、手記、ルポルタージュ
937,937,箴言、アフォリズム、寸言
938,938,作品集
939,939,アメリカ文学 
940,940,ドイツ文学
941,941,詩
942,942,戯曲
943,943,小説、物語
944,944,評論、エッセイ、随筆
945,945,日記、書簡、紀行
946,946,記録、手記、ルポルタージュ
947,947,箴言、アフォリズム、寸言
948,948,作品集
949,949,その他のゲルマン文学
950,950,フランス文学
951,951,詩
952,952,戯曲
953,953,小説、物語
954,954,評論、エッセイ、随筆
955,955,日記、書簡、紀行
956,956,記録、手記、ルポルタージュ
957,957,箴言、アフォリズム、寸言
958,958,作品集
959,959,プロバンス文学
960,960,スペイン文学
961,961,詩
962,962,戯曲
963,963,小説、物語
964,964,評論、エッセイ、随筆
965,965,日記、書簡、紀行
966,966,記録、手記、ルポルタージュ
967,967,箴言、アフォリズム、寸言
968,968,作品集
969,969,ポルトガル文学
970,970,イタリア文学
971,971,詩
972,972,戯曲
973,973,小説、物語
974,974,評論、エッセイ、随筆
975,975,日記、書簡、紀行
976,976,記録、手記、ルポルタージュ
977,977,箴言、アフォリズム、寸言
978,978,作品集
979,979,その他のロマンス文学
980,980,ロシア・ソビエト文学
981,981,詩
982,982,戯曲
983,983,小説、物語
984,984,評論、エッセイ、随筆
985,985,日記、書簡、紀行
986,986,記録、手記、ルポルタージュ
987,987,箴言、アフォリズム、寸言
988,988,作品集
989,989,その他のスラブ文学
990,990,その他の諸言語文学
991,991,ギリシア文学
992,992,ラテン文学
993,993,その他のヨーロッパ文学
994,994,アフリカ文学
995,995,アメリカ諸言語の文学
996,996,
997,997,オーストラリア諸言語の文学
998,998,
999,999,国際語（人工語）による文学
